Hemel Hempstead Hospital : Urgent Care Centre,WEST HERTFORDSHIRE HOSPITALS NHS TRUST
HCA UK Urgent Care Centre - Marylebone,IMPERIAL COLLEGE HEALTHCARE NHS TRUST
Central Middlesex Hospital-Brent Urgent Care Centre,LONDON NORTH WEST HEALTHCARE NHS TRUST
Ealing Urgent Care Centre,LONDON NORTH WEST HEALTHCARE NHS TRUST
Fulham NHS Urgent Care Walk-in Centre,IMPERIAL COLLEGE HEALTHCARE NHS TRUST
Hammersmith NHS Urgent Care Walk-in Centre,IMPERIAL COLLEGE HEALTHCARE NHS TRUST
HCA UK Urgent Care Centre - Chelsea,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST
HCA UK Urgent Care Centre - St John's Wood,ROYAL FREE LONDON NHS FOUNDATION TRUST
St. Charles NHS Urgent Care Walk-in Centre,IMPERIAL COLLEGE HEALTHCARE NHS TRUST
CROYDON URGENT CARE CENTRE,CROYDON HEALTH SERVICES NHS TRUST
Newham University Hospital Urgent Care,BARTS HEALTH NHS TRUST
Guy's Hospital : Urgent care centre,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST
Erith and District Hospital,DARTFORD AND GRAVESHAM NHS TRUST
Beckenham Beacon,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST
University Hospital Lewisham Urgent Care Centre,LEWISHAM AND GREENWICH NHS TRUST
Soho NHS Walk-in Centre,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST
St.Mary's Hospital : Emergency Room,IMPERIAL COLLEGE HEALTHCARE NHS TRUST
Chelsea and Westminster Hospital: Accident and Emergency Department,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST
Homerton University Hospital: Accident and Emergency Department,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST
Barnet Hospital: Emergency Room,ROYAL FREE LONDON NHS FOUNDATION TRUST
Basildon University Hospital: Emergency Room,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST
Charing Cross Hospital : Emergency Room,IMPERIAL COLLEGE HEALTHCARE NHS TRUST
North Middlesex University Hospital- Accident and Emergency Department,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST
Princess Alexandra Hospital: Emergency Room,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST
Queen Elizabeth Hospital : Emergency Room,LEWISHAM AND GREENWICH NHS TRUST
Epsom Hospital: Emergency Room,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST
Lister Hospital: Accident And Emergency Department,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST
Medway Maritime Hospital- Emergency Room,MEDWAY NHS FOUNDATION TRUST
Watford General Hospital: Accident and Emergency Department,ROYAL FREE LONDON NHS FOUNDATION TRUST
Princess Royal University Hospital,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST
Hillingdon Hospital- Accident and Emergency Department,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST
Ealing Hospital: Emergency Room,LONDON NORTH WEST HEALTHCARE NHS TRUST
Northwick Park Hospital- Emergency Room,LONDON NORTH WEST HEALTHCARE NHS TRUST
The Royal London Hospital,BARTS HEALTH NHS TRUST
University College Hospital : Emergency Room,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST
